,Title,Artist,URI,Target,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
112,the middle,jimmy eat world,6GG73Jik4jUlQCkKg9JuGO,1,0.643,0.849,2.0,-5.428,1.0,0.0526,0.0371,0.0,0.058,0.903,162.152,165853.0,4.0
113,i need a girl (part one),p. diddy feat. usher and loon,5q5dfFe2Nz2Fwn7jLwV5Lc,1,0.698,0.802,11.0,-3.91,1.0,0.296,0.139,0.0,0.0628,0.776,178.75,278353.0,4.0
114,u don’t have to call,usher,5PCJldueshnwqQVjS16543,1,0.793,0.568,1.0,-4.958,1.0,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,269400.0,4.0
115,i need a girl (part two),"p. diddy and ginuwine feat. loon, mario winans and tammy ruggeri",7gnucx1zXQlcLOFS3T6LR5,1,0.922,0.417,6.0,-8.988,0.0,0.269,0.567,0.0,0.0388,0.888,100.004,303978.0,4.0
116,gangsta lovin’,eve feat. alicia keys,0WgLpgUdThEpA5L5K0SKq7,1,0.723,0.84,1.0,-3.523,0.0,0.0608,0.0619,0.0,0.0945,0.827,94.332,239267.0,4.0
117,my sacrifice,creed,2VSbEXqs6NbNiZSTcHlIDR,1,0.32,0.88,2.0,-6.035,1.0,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,294600.0,4.0
118,without me,eminem,7lQ8MOhq6IN2w8EYcFNSUk,1,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,4.0
119,all you wanted,michelle branch,0kr6d8wHDQPlzuET33NVn6,1,0.499,0.72,8.0,-9.101,1.0,0.0286,0.00466,0.00303,0.122,0.652,96.103,217680.0,4.0
120,get the party started,p!nk,02jcEwywffn3Tsb48fXmlW,1,0.802,0.903,11.0,-3.267,0.0,0.046,0.0011,0.0,0.173,0.96,128.93,192533.0,4.0
121,hero,chad kroeger feat. josey scott,779ooI3rBd0CLqCiiJmtVo,1,0.427,0.843,4.0,-4.54,1.0,0.0364,0.00216,0.0,0.179,0.304,147.387,200480.0,3.0
122,wasting my time,default,5dpAN1mjFPL38kh9kWsCiw,1,0.449,0.776,2.0,-5.594,1.0,0.0322,0.00171,0.0,0.0698,0.198,148.11,269307.0,4.0
123,one last breath,creed,42T2QQv3xgBlpQxaSP7lnK,1,0.386,0.677,2.0,-5.83,1.0,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240.0,4.0
124,"whenever, wherever",shakira,2lnzGkdtDj5mtlcOW2yRtG,1,0.794,0.832,1.0,-4.862,0.0,0.0407,0.237,1.14e-05,0.203,0.871,107.657,196160.0,4.0
125,i’m gonna be alright,jennifer lopez feat. nas,2UbFyKS0gTj9NcGLO4NpyZ,1,0.843,0.612,10.0,-4.71,0.0,0.157,0.0573,0.000305,0.154,0.791,93.975,200200.0,4.0
126,oh boy,cam’ron feat. juelz santana,4gdQ8QShlC3toP9Mkc8DwB,1,0.754,0.767,6.0,-5.586,1.0,0.145,0.0216,0.0,0.172,0.828,83.014,204707.0,4.0
127,heaven,dj sammy and yanou feat. do,72SpPFrMYCXLB3Fbw9tEgf,1,0.571,0.953,8.0,-5.601,1.0,0.0548,0.0011,0.000606,0.226,0.601,137.965,233600.0,4.0
128,hey baby,no doubt feat. bounty killer,2QsoVMTKj5m5kgztTOep98,1,0.705,0.872,11.0,-3.557,0.0,0.126,0.0618,0.0,0.227,0.75,93.628,207040.0,4.0
129,girlfriend,‘n sync feat. nelly,5XEhSc7eNNtM6KJxddoZLx,1,0.788,0.882,8.0,-4.173,1.0,0.223,0.141,0.0,0.0633,0.882,93.993,284467.0,4.0
130,just a friend 2002,mario,2cxbxpHrND6i4uvUGVvC9J,1,0.538,0.677,0.0,-6.099,1.0,0.187,0.00541,0.0,0.236,0.913,132.346,214200.0,5.0
131,soak up the sun,sheryl crow,215JYyyUnrJ98NK3KEwu6d,1,0.717,0.733,4.0,-4.985,1.0,0.0427,0.0398,0.0,0.136,0.713,119.996,292307.0,4.0
132,don’t let me get me,p!nk,2hns6Dv29Yrg68AVTJiAyA,1,0.688,0.734,9.0,-4.569,1.0,0.0274,0.00462,0.0,0.0756,0.46,140.004,208493.0,4.0
133,nothin’,n.o.r.e.,5ZKVNTG7yu7gbX4vryqS2X,1,0.791,0.863,3.0,-6.118,0.0,0.151,0.317,1.13e-06,0.27,0.742,97.035,264653.0,4.0
134,oops (oh my),tweet,5Y0E3dOeynKuLDAXu0t0Bg,1,0.66,0.536,10.0,-8.786,0.0,0.29,0.233,0.00669,0.111,0.775,159.963,237800.0,4.0
135,a moment like this,kelly clarkson,4kvdX9zzsix7jYHsRVkVUH,1,0.414,0.572,8.0,-3.918,1.0,0.0311,0.163,0.0,0.115,0.16,145.184,228280.0,4.0
